"Título de trazado: ASA_01_SO_01"
"N.º","Fecha Tiempo, GMT-05:00","Pres abs, psi (LGR S/N: 22034869, SEN S/N: 22034869)","Temp, °F (LGR S/N: 22034869, SEN S/N: 22034869)","Pres abs Barom., psi (LGR S/N: 21981564, SEN S/N: 21981564)","Profundidad de sensor, pies (LGR S/N: 22034869)","Acoplador separado (LGR S/N: 22034869)","Acoplador adjunto (LGR S/N: 22034869)","Host conectado (LGR S/N: 22034869)","Final de archivo (LGR S/N: 22034869)"
45,09/28/25 02:25:00 PM,8.4325,40.321,8.3517,0.186,,,,
46,09/28/25 02:30:00 PM,8.4302,40.321,8.3508,0.183,,,,
47,09/28/25 02:35:00 PM,8.4294,40.134,8.3508,0.181,,,,
48,09/28/25 02:40:00 PM,8.4294,40.134,8.3534,0.175,,,,
49,09/28/25 02:45:00 PM,8.4271,40.134,8.3500,0.178,,,,
50,09/28/25 02:50:00 PM,8.4318,40.134,8.3508,0.187,,,,
51,09/28/25 02:55:00 PM,8.4294,40.134,8.3491,0.185,,,,
52,09/28/25 03:00:00 PM,8.4271,40.134,8.3517,0.174,,,,
53,09/28/25 03:05:00 PM,8.4271,40.134,8.3491,0.180,,,,
54,09/28/25 03:10:00 PM,8.4271,40.134,8.3500,0.178,,,,
55,09/28/25 03:15:00 PM,8.4271,40.134,8.3491,0.180,,,,
56,09/28/25 03:20:00 PM,8.4271,40.134,8.3482,0.182,,,,
57,09/28/25 03:25:00 PM,8.4248,40.134,8.3465,0.181,,,,
58,09/28/25 03:30:00 PM,8.4294,40.134,8.3465,0.191,,,,
59,09/28/25 03:35:00 PM,8.4248,40.134,8.3446,0.185,,,,
60,09/28/25 03:40:00 PM,8.4225,40.134,8.3429,0.184,,,,
61,09/28/25 03:45:00 PM,8.4248,40.134,8.3436,0.187,,,,
62,09/28/25 03:50:00 PM,8.4248,40.134,8.3426,0.190,,,,
63,09/28/25 03:55:00 PM,8.4271,40.134,8.3447,0.190,,,,
64,09/28/25 04:00:00 PM,8.4248,40.134,8.3437,0.187,,,,
65,09/28/25 04:05:00 PM,8.4248,40.134,8.3450,0.184,,,,
66,09/28/25 04:10:00 PM,8.4271,40.134,8.3421,0.196,,,,
67,09/28/25 04:15:00 PM,8.4248,40.134,8.3410,0.193,,,,
68,09/28/25 04:20:00 PM,8.4248,40.134,8.3432,0.188,,,,
69,09/28/25 04:25:00 PM,8.4248,40.134,8.3411,0.193,,,,
70,09/28/25 04:30:00 PM,8.4271,40.134,8.3426,0.195,,,,
71,09/28/25 04:35:00 PM,8.4271,40.134,8.3449,0.190,,,,
72,09/28/25 04:40:00 PM,8.4271,40.134,8.3439,0.192,,,,
73,09/28/25 04:45:00 PM,8.4271,40.134,8.3436,0.193,,,,
74,09/28/25 04:50:00 PM,8.4248,40.134,8.3456,0.183,,,,
75,09/28/25 04:55:00 PM,8.4271,40.134,8.3452,0.189,,,,
76,09/28/25 05:00:00 PM,8.4271,40.134,8.3455,0.188,,,,
77,09/28/25 05:05:00 PM,8.4248,40.134,8.3424,0.190,,,,
78,09/28/25 05:10:00 PM,8.4271,40.134,8.3426,0.195,,,,
79,09/28/25 05:15:00 PM,8.4294,40.134,8.3421,0.201,,,,
80,09/28/25 05:20:00 PM,8.4271,40.134,8.3456,0.188,,,,
81,09/28/25 05:25:00 PM,8.4271,40.134,8.3434,0.193,,,,
82,09/28/25 05:30:00 PM,8.4264,39.947,8.3446,0.189,,,,
83,09/28/25 05:35:00 PM,8.4264,39.947,8.3458,0.186,,,,
84,09/28/25 05:40:00 PM,8.4264,39.947,8.3452,0.187,,,,
85,09/28/25 05:45:00 PM,8.4264,39.947,8.3447,0.188,,,,
86,09/28/25 05:50:00 PM,8.4264,39.947,8.3408,0.197,,,,
87,09/28/25 05:55:00 PM,8.4287,39.947,8.3430,0.198,,,,
88,09/28/25 06:00:00 PM,8.4241,39.947,8.3407,0.192,,,,
89,09/28/25 06:05:00 PM,8.4287,39.947,8.3446,0.194,,,,
90,09/28/25 06:10:00 PM,8.4241,39.947,8.3423,0.189,,,,
91,09/28/25 06:15:00 PM,8.4241,39.947,8.3411,0.191,,,,
92,09/28/25 06:20:00 PM,8.4241,39.947,8.3433,0.186,,,,
93,09/28/25 06:25:00 PM,8.4241,39.947,8.3405,0.193,,,,
94,09/28/25 06:30:00 PM,8.4264,39.947,8.3427,0.193,,,,
95,09/28/25 06:35:00 PM,8.4241,39.947,8.3414,0.191,,,,
96,09/28/25 06:40:00 PM,8.4241,39.947,8.3414,0.191,,,,
97,09/28/25 06:45:00 PM,8.4264,39.947,8.3436,0.191,,,,
98,09/28/25 06:50:00 PM,8.4287,39.947,8.3436,0.196,,,,
99,09/28/25 06:55:00 PM,8.4218,39.947,8.3424,0.183,,,,
100,09/28/25 07:00:00 PM,8.4241,39.947,8.3424,0.188,,,,
101,09/28/25 07:05:00 PM,8.4241,39.947,8.3395,0.195,,,,
102,09/28/25 07:10:00 PM,8.4241,39.947,8.3446,0.183,,,,
103,09/28/25 07:15:00 PM,8.4264,39.947,8.3446,0.189,,,,
104,09/28/25 07:20:00 PM,8.4264,39.947,8.3434,0.191,,,,
105,09/28/25 07:25:00 PM,8.4287,39.947,8.3450,0.193,,,,
106,09/28/25 07:30:00 PM,8.4264,39.947,8.3450,0.188,,,,
107,09/28/25 07:35:00 PM,8.4287,39.947,8.3456,0.192,,,,
108,09/28/25 07:40:00 PM,8.4287,39.947,8.3494,0.183,,,,
109,09/28/25 07:45:00 PM,8.4287,39.947,8.3476,0.187,,,,
110,09/28/25 07:50:00 PM,8.4287,39.947,8.3461,0.191,,,,
111,09/28/25 07:55:00 PM,8.4287,39.947,8.3465,0.190,,,,
112,09/28/25 08:00:00 PM,8.4287,39.947,8.3481,0.186,,,,
113,09/28/25 08:05:00 PM,8.4310,39.947,8.3498,0.187,,,,
114,09/28/25 08:10:00 PM,8.4310,39.947,8.3498,0.187,,,,
115,09/28/25 08:15:00 PM,8.4310,39.947,8.3498,0.187,,,,
116,09/28/25 08:20:00 PM,8.4335,39.947,8.3514,0.189,,,,
117,09/28/25 08:25:00 PM,8.4310,39.947,8.3532,0.180,,,,
118,09/28/25 08:30:00 PM,8.4310,39.947,8.3498,0.187,,,,
119,09/28/25 08:35:00 PM,8.4310,39.947,8.3520,0.182,,,,
120,09/28/25 08:40:00 PM,8.4310,39.947,8.3507,0.185,,,,
121,09/28/25 08:45:00 PM,8.4305,39.760,8.3507,0.184,,,,
122,09/28/25 08:50:00 PM,8.4305,39.760,8.3495,0.187,,,,
123,09/28/25 08:55:00 PM,8.4305,39.760,8.3516,0.182,,,,
124,09/28/25 09:00:00 PM,8.4305,39.760,8.3533,0.178,,,,
125,09/28/25 09:05:00 PM,8.4305,39.760,8.3520,0.181,,,,
126,09/28/25 09:10:00 PM,8.4305,39.760,8.3537,0.177,,,,
127,09/28/25 09:15:00 PM,8.4305,39.760,8.3504,0.185,,,,
128,09/28/25 09:20:00 PM,8.4305,39.760,8.3491,0.188,,,,
129,09/28/25 09:25:00 PM,8.4328,39.760,8.3495,0.192,,,,
130,09/28/25 09:30:00 PM,8.4305,39.760,8.3513,0.183,,,,
131,09/28/25 09:35:00 PM,8.4305,39.760,8.3516,0.182,,,,
132,09/28/25 09:40:00 PM,8.4305,39.760,8.3504,0.185,,,,
133,09/28/25 09:45:00 PM,8.4328,39.760,8.3504,0.190,,,,
134,09/28/25 09:50:00 PM,8.4305,39.760,8.3520,0.181,,,,
135,09/28/25 09:55:00 PM,8.4305,39.760,8.3504,0.185,,,,
136,09/28/25 10:00:00 PM,8.4305,39.760,8.3491,0.188,,,,
137,09/28/25 10:05:00 PM,8.4305,39.760,8.3491,0.188,,,,
138,09/28/25 10:10:00 PM,8.4328,39.760,8.3495,0.192,,,,
139,09/28/25 10:15:00 PM,8.4281,39.760,8.3478,0.185,,,,
140,09/28/25 10:20:00 PM,8.4281,39.760,8.3478,0.185,,,,
141,09/28/25 10:25:00 PM,8.4281,39.760,8.3495,0.181,,,,
142,09/28/25 10:30:00 PM,8.4281,39.760,8.3478,0.185,,,,
143,09/28/25 10:35:00 PM,8.4305,39.760,8.3478,0.191,,,,
144,09/28/25 10:40:00 PM,8.4305,39.760,8.3462,0.194,,,,
145,09/28/25 10:45:00 PM,8.4281,39.760,8.3478,0.185,,,,
146,09/28/25 10:50:00 PM,8.4305,39.760,8.3462,0.194,,,,
147,09/28/25 10:55:00 PM,8.4305,39.760,8.3449,0.197,,,,
148,09/28/25 11:00:00 PM,8.4305,39.760,8.3466,0.193,,,,
149,09/28/25 11:05:00 PM,8.4281,39.760,8.3420,0.199,,,,
150,09/28/25 11:10:00 PM,8.4281,39.760,8.3436,0.195,,,,
151,09/28/25 11:15:00 PM,8.4258,39.760,8.3423,0.193,,,,
152,09/28/25 11:20:00 PM,8.4258,39.760,8.3423,0.193,,,,
153,09/28/25 11:25:00 PM,8.4258,39.760,8.3411,0.195,,,,
154,09/28/25 11:30:00 PM,8.4258,39.760,8.3427,0.192,,,,
155,09/28/25 11:35:00 PM,8.4258,39.760,8.3394,0.199,,,,
156,09/28/25 11:40:00 PM,8.4235,39.760,8.3381,0.197,,,,
157,09/28/25 11:45:00 PM,8.4258,39.760,8.3398,0.198,,,,
158,09/28/25 11:50:00 PM,8.4258,39.760,8.3381,0.202,,,,
159,09/28/25 11:55:00 PM,8.4258,39.760,8.3365,0.206,,,,
160,09/29/25 12:00:00 AM,8.4258,39.760,8.3365,0.206,,,,
161,09/29/25 12:05:00 AM,8.4258,39.760,8.3334,0.213,,,,
162,09/29/25 12:10:00 AM,8.4235,39.760,8.3365,0.201,,,,
163,09/29/25 12:15:00 AM,8.4235,39.760,8.3347,0.205,,,,
164,09/29/25 12:20:00 AM,8.4258,39.760,8.3347,0.210,,,,
165,09/29/25 12:25:00 AM,8.4235,39.760,8.3347,0.205,,,,
166,09/29/25 12:30:00 AM,8.4212,39.760,8.3347,0.199,,,,
167,09/29/25 12:35:00 AM,8.4235,39.760,8.3347,0.205,,,,
168,09/29/25 12:40:00 AM,8.4235,39.760,8.3352,0.204,,,,
169,09/29/25 12:45:00 AM,8.4235,39.760,8.3352,0.204,,,,
170,09/29/25 12:50:00 AM,8.4235,39.760,8.3321,0.211,,,,
171,09/29/25 12:55:00 AM,8.4181,39.573,8.3339,0.194,,,,
172,09/29/25 01:00:00 AM,8.4205,39.573,8.3326,0.203,,,,
173,09/29/25 01:05:00 AM,8.4205,39.573,8.3326,0.203,,,,
174,09/29/25 01:10:00 AM,8.4181,39.573,8.3308,0.201,,,,
175,09/29/25 01:15:00 AM,8.4181,39.573,8.3308,0.201,,,,
176,09/29/25 01:20:00 AM,8.4205,39.573,8.3326,0.203,,,,
177,09/29/25 01:25:00 AM,8.4181,39.573,8.3278,0.208,,,,
178,09/29/25 01:30:00 AM,8.4181,39.573,8.3295,0.204,,,,
179,09/29/25 01:35:00 AM,8.4181,39.573,8.3278,0.208,,,,
180,09/29/25 01:40:00 AM,8.4158,39.573,8.3262,0.207,,,,
181,09/29/25 01:45:00 AM,8.4158,39.573,8.3278,0.203,,,,
182,09/29/25 01:50:00 AM,8.4181,39.573,8.3259,0.213,,,,
183,09/29/25 01:55:00 AM,8.4181,39.573,8.3259,0.213,,,,
184,09/29/25 02:00:00 AM,8.4158,39.573,8.3242,0.211,,,,
185,09/29/25 02:05:00 AM,8.4158,39.573,8.3275,0.204,,,,
186,09/29/25 02:10:00 AM,8.4158,39.573,8.3259,0.207,,,,
187,09/29/25 02:15:00 AM,8.4158,39.573,8.3242,0.211,,,,
188,09/29/25 02:20:00 AM,8.4135,39.573,8.3242,0.206,,,,
189,09/29/25 02:25:00 AM,8.4135,39.573,8.3226,0.210,,,,
190,09/29/25 02:30:00 AM,8.4135,39.573,8.3259,0.202,,,,
191,09/29/25 02:35:00 AM,8.4135,39.573,8.3244,0.205,,,,
192,09/29/25 02:40:00 AM,8.4112,39.573,8.3211,0.208,,,,
193,09/29/25 02:45:00 AM,8.4135,39.573,8.3244,0.205,,,,
194,09/29/25 02:50:00 AM,8.4112,39.573,8.3244,0.200,,,,
195,09/29/25 02:55:00 AM,8.4135,39.573,8.3244,0.205,,,,
196,09/29/25 03:00:00 AM,8.4135,39.573,8.3231,0.208,,,,
197,09/29/25 03:05:00 AM,8.4112,39.573,8.3249,0.199,,,,
198,09/29/25 03:10:00 AM,8.4135,39.573,8.3249,0.204,,,,
199,09/29/25 03:15:00 AM,8.4158,39.573,8.3231,0.214,,,,
200,09/29/25 03:20:00 AM,8.4112,39.573,8.3236,0.202,,,,
201,09/29/25 03:25:00 AM,8.4112,39.573,8.3218,0.206,,,,
202,09/29/25 03:30:00 AM,8.4135,39.573,8.3239,0.207,,,,
203,09/29/25 03:35:00 AM,8.4135,39.573,8.3205,0.214,,,,
204,09/29/25 03:40:00 AM,8.4135,39.573,8.3221,0.211,,,,
205,09/29/25 03:45:00 AM,8.4135,39.573,8.3221,0.211,,,,
206,09/29/25 03:50:00 AM,8.4135,39.573,8.3221,0.211,,,,
207,09/29/25 03:55:00 AM,8.4135,39.573,8.3221,0.211,,,,
208,09/29/25 04:00:00 AM,8.4112,39.573,8.3239,0.201,,,,
209,09/29/25 04:05:00 AM,8.4135,39.573,8.3221,0.211,,,,
210,09/29/25 04:10:00 AM,8.4112,39.573,8.3239,0.201,,,,
211,09/29/25 04:15:00 AM,8.4089,39.573,8.3221,0.200,,,,
212,09/29/25 04:20:00 AM,8.4112,39.573,8.3208,0.208,,,,
213,09/29/25 04:25:00 AM,8.4112,39.573,8.3226,0.204,,,,
214,09/29/25 04:30:00 AM,8.4112,39.573,8.3226,0.204,,,,
215,09/29/25 04:35:00 AM,8.4089,39.573,8.3226,0.199,,,,
216,09/29/25 04:40:00 AM,8.4112,39.573,8.3242,0.201,,,,
217,09/29/25 04:45:00 AM,8.4112,39.573,8.3228,0.204,,,,
218,09/29/25 04:50:00 AM,8.4112,39.573,8.3228,0.204,,,,
219,09/29/25 04:55:00 AM,8.4135,39.573,8.3226,0.210,,,,
220,09/29/25 05:00:00 AM,8.4112,39.573,8.3226,0.204,,,,
221,09/29/25 05:05:00 AM,8.4112,39.573,8.3228,0.204,,,,
222,09/29/25 05:10:00 AM,8.4112,39.573,8.3211,0.208,,,,
223,09/29/25 05:15:00 AM,8.4112,39.573,8.3228,0.204,,,,
224,09/29/25 05:20:00 AM,8.4112,39.573,8.3265,0.195,,,,
225,09/29/25 05:25:00 AM,8.4135,39.573,8.3249,0.204,,,,
226,09/29/25 05:30:00 AM,8.4112,39.573,8.3265,0.195,,,,
227,09/29/25 05:35:00 AM,8.4135,39.573,8.3282,0.197,,,,
228,09/29/25 05:40:00 AM,8.4135,39.573,8.3282,0.197,,,,
229,09/29/25 05:45:00 AM,8.4135,39.573,8.3285,0.196,,,,
230,09/29/25 05:50:00 AM,8.4135,39.573,8.3285,0.196,,,,
231,09/29/25 05:55:00 AM,8.4128,39.384,8.3282,0.195,,,,
232,09/29/25 06:00:00 AM,8.4151,39.384,8.3282,0.200,,,,
233,09/29/25 06:05:00 AM,8.4151,39.384,8.3282,0.200,,,,
234,09/29/25 06:10:00 AM,8.4174,39.384,8.3282,0.206,,,,
235,09/29/25 06:15:00 AM,8.4151,39.384,8.3315,0.193,,,,
236,09/29/25 06:20:00 AM,8.4128,39.384,8.3315,0.187,,,,
237,09/29/25 06:25:00 AM,8.4151,39.384,8.3331,0.189,,,,
238,09/29/25 06:30:00 AM,8.4151,39.384,8.3329,0.190,,,,
239,09/29/25 06:35:00 AM,8.4174,39.384,8.3339,0.193,,,,
240,09/29/25 06:40:00 AM,8.4174,39.384,8.3362,0.187,,,,
241,09/29/25 06:45:00 AM,8.4197,39.384,8.3401,0.184,,,,
242,09/29/25 06:50:00 AM,8.4221,39.384,8.3407,0.188,,,,
243,09/29/25 06:55:00 AM,8.4221,39.384,8.3424,0.184,,,,
244,09/29/25 07:00:00 AM,8.4274,39.573,8.3442,0.192,,,,
245,09/29/25 07:05:00 AM,8.4251,39.573,8.3474,0.179,,,,
246,09/29/25 07:10:00 AM,8.4274,39.573,8.3490,0.181,,,,
247,09/29/25 07:15:00 AM,8.4274,39.573,8.3520,0.174,,,,
248,09/29/25 07:20:00 AM,8.4297,39.573,8.3550,0.172,,,,
249,09/29/25 07:25:00 AM,8.4274,39.573,8.3579,0.160,,,,
250,09/29/25 07:30:00 AM,8.4297,39.573,8.3575,0.167,,,,
251,09/29/25 07:35:00 AM,8.4297,39.573,8.3587,0.164,,,,
252,09/29/25 07:40:00 AM,8.4297,39.573,8.3597,0.162,,,,
253,09/29/25 07:45:00 AM,8.4297,39.573,8.3607,0.159,,,,
254,09/29/25 07:50:00 AM,8.4321,39.573,8.3606,0.165,,,,
255,09/29/25 07:55:00 AM,8.4297,39.573,8.3637,0.152,,,,
256,09/29/25 08:00:00 AM,8.4297,39.573,8.3619,0.157,,,,
257,09/29/25 08:05:00 AM,8.4321,39.573,8.3616,0.163,,,,
258,09/29/25 08:10:00 AM,8.4321,39.573,8.3636,0.158,,,,
259,09/29/25 08:15:00 AM,8.4321,39.573,8.3664,0.152,,,,
260,09/29/25 08:20:00 AM,8.4321,39.573,8.3674,0.149,,,,
261,09/29/25 08:25:00 AM,8.4344,39.573,8.3666,0.156,,,,
262,09/29/25 08:30:00 AM,8.4344,39.573,8.3694,0.150,,,,
263,09/29/25 08:35:00 AM,8.4344,39.573,8.3687,0.152,,,,
264,09/29/25 08:40:00 AM,8.4321,39.573,8.3681,0.148,,,,
265,09/29/25 08:45:00 AM,8.4344,39.573,8.3640,0.162,,,,
266,09/29/25 08:50:00 AM,8.4328,39.760,8.3666,0.153,,,,
267,09/29/25 08:55:00 AM,8.4351,39.760,8.3669,0.157,,,,
268,09/29/25 09:00:00 AM,8.4328,39.760,8.3690,0.147,,,,
269,09/29/25 09:05:00 AM,8.4328,39.760,8.3682,0.149,,,,
270,09/29/25 09:10:00 AM,8.4351,39.760,8.3693,0.152,,,,
271,09/29/25 09:15:00 AM,8.4328,39.760,8.3694,0.146,,,,
272,09/29/25 09:20:00 AM,8.4351,39.760,8.3714,0.147,,,,
273,09/29/25 09:25:00 AM,8.4328,39.760,8.3690,0.147,,,,
274,09/29/25 09:30:00 AM,8.4328,39.760,8.3700,0.145,,,,
275,09/29/25 09:35:00 AM,8.4328,39.760,8.3716,0.141,,,,
276,09/29/25 09:40:00 AM,8.4305,39.760,8.3685,0.143,,,,
277,09/29/25 09:45:00 AM,8.4328,39.760,8.3694,0.146,,,,
278,09/29/25 09:50:00 AM,8.4328,39.760,8.3697,0.146,,,,
279,09/29/25 09:55:00 AM,8.4305,39.760,8.3672,0.146,,,,
280,09/29/25 10:00:00 AM,8.4305,39.760,8.3656,0.150,,,,
281,09/29/25 10:05:00 AM,8.4305,39.760,8.3675,0.145,,,,
282,09/29/25 10:10:00 AM,8.4328,39.760,8.3684,0.149,,,,
283,09/29/25 10:15:00 AM,8.4305,39.760,8.3703,0.139,,,,
284,09/29/25 10:20:00 AM,8.4328,39.760,8.3695,0.146,,,,
285,09/29/25 10:25:00 AM,8.4305,39.760,8.3671,0.146,,,,
286,09/29/25 10:30:00 AM,8.4305,39.760,8.3678,0.145,,,,
287,09/29/25 10:35:00 AM,8.4305,39.760,8.3669,0.147,,,,
288,09/29/25 10:40:00 AM,8.4305,39.760,8.3678,0.145,,,,
289,09/29/25 10:45:00 AM,8.4328,39.760,8.3687,0.148,,,,
290,09/29/25 10:50:00 AM,8.4305,39.760,8.3697,0.140,,,,
291,09/29/25 10:55:00 AM,8.4328,39.760,8.3680,0.150,,,,
292,09/29/25 11:00:00 AM,8.4328,39.760,8.3687,0.148,,,,
293,09/29/25 11:05:00 AM,8.4305,39.760,8.3711,0.137,,,,
294,09/29/25 11:10:00 AM,8.4305,39.760,8.3677,0.145,,,,
295,09/29/25 11:15:00 AM,8.4305,39.760,8.3693,0.141,,,,
296,09/29/25 11:20:00 AM,8.4305,39.760,8.3691,0.142,,,,
297,09/29/25 11:25:00 AM,8.4281,39.760,8.3655,0.145,,,,
298,09/29/25 11:30:00 AM,8.4287,39.947,8.3653,0.146,,,,
299,09/29/25 11:35:00 AM,8.4287,39.947,8.3668,0.143,,,,
300,09/29/25 11:40:00 AM,8.4287,39.947,8.3652,0.147,,,,
301,09/29/25 11:45:00 AM,8.4287,39.947,8.3601,0.158,,,,
302,09/29/25 11:50:00 AM,8.4264,39.947,8.3587,0.156,,,,
303,09/29/25 11:55:00 AM,8.4287,39.947,8.3597,0.159,,,,
304,09/29/25 12:00:00 PM,8.4264,39.947,8.3582,0.157,,,,
305,09/29/25 12:05:00 PM,8.4241,39.947,8.3542,0.161,,,,
306,09/29/25 12:10:00 PM,8.4264,39.947,8.3577,0.159,,,,
307,09/29/25 12:15:00 PM,8.4241,39.947,8.3553,0.159,,,,
308,09/29/25 12:20:00 PM,8.4241,39.947,8.3571,0.155,,,,
309,09/29/25 12:25:00 PM,8.4241,39.947,8.3588,0.151,,,,
310,09/29/25 12:30:00 PM,8.4218,39.947,8.3539,0.157,,,,
311,09/29/25 12:35:00 PM,8.4218,39.947,8.3556,0.153,,,,
312,09/29/25 12:40:00 PM,8.4218,39.947,8.3540,0.156,,,,
313,09/29/25 12:45:00 PM,8.4241,39.947,8.3566,0.156,,,,
314,09/29/25 12:50:00 PM,8.4218,39.947,8.3549,0.154,,,,
315,09/29/25 12:55:00 PM,8.4218,39.947,8.3566,0.150,,,,
316,09/29/25 01:00:00 PM,8.4218,39.947,8.3575,0.148,,,,
317,09/29/25 01:05:00 PM,8.4218,39.947,8.3550,0.154,,,,
318,09/29/25 01:10:00 PM,8.4218,39.947,8.3533,0.158,,,,
319,09/29/25 01:15:00 PM,8.4218,39.947,8.3542,0.156,,,,
320,09/29/25 01:20:00 PM,8.4218,39.947,8.3524,0.160,,,,
321,09/29/25 01:25:00 PM,8.4171,39.947,8.3524,0.149,,,,
322,09/29/25 01:30:00 PM,8.4171,39.947,8.3524,0.149,,,,
323,09/29/25 01:35:00 PM,8.4171,39.947,8.3559,0.141,,,,
324,09/29/25 01:40:00 PM,8.4194,39.947,8.3500,0.160,,,,
325,09/29/25 01:45:00 PM,8.4171,39.947,8.3508,0.153,,,,
326,09/29/25 01:50:00 PM,8.4171,39.947,8.3500,0.155,,,,
327,09/29/25 01:55:00 PM,8.4125,39.947,8.3500,0.144,,,,
328,09/29/25 02:00:00 PM,8.4125,39.947,8.3482,0.148,,,,
329,09/29/25 02:05:00 PM,8.4148,39.947,8.3482,0.154,,,,
330,09/29/25 02:10:00 PM,8.4125,39.947,8.3500,0.144,,,,
331,09/29/25 02:15:00 PM,8.4125,39.947,8.3466,0.152,,,,
332,09/29/25 02:20:00 PM,8.4125,39.947,8.3458,0.154,,,,
333,09/29/25 02:25:00 PM,8.4102,39.947,8.3440,0.153,,,,
334,09/29/25 02:30:00 PM,8.4125,39.947,8.3465,0.152,,,,
335,09/29/25 02:35:00 PM,8.4102,39.947,8.3474,0.145,,,,
336,09/29/25 02:40:00 PM,8.4102,39.947,8.3474,0.145,,,,
337,09/29/25 02:45:00 PM,8.4102,39.947,8.3465,0.147,,,,
338,09/29/25 02:50:00 PM,8.4078,39.947,8.3447,0.146,,,,
339,09/29/25 02:55:00 PM,8.4055,39.947,8.3439,0.142,,,,
340,09/29/25 03:00:00 PM,8.4055,39.947,8.3447,0.140,,,,
341,09/29/25 03:05:00 PM,8.4086,40.134,8.3439,0.149,,,,
342,09/29/25 03:10:00 PM,8.4086,40.134,8.3430,0.151,,,,
343,09/29/25 03:15:00 PM,8.4086,40.134,8.3455,0.146,,,,
344,09/29/25 03:20:00 PM,8.4086,40.134,8.3446,0.148,,,,
345,09/29/25 03:25:00 PM,8.4062,40.134,8.3453,0.141,,,,
346,09/29/25 03:30:00 PM,8.4086,40.134,8.3445,0.148,,,,
347,09/29/25 03:35:00 PM,8.4062,40.134,8.3443,0.143,,,,
348,09/29/25 03:40:00 PM,8.4086,40.134,8.3434,0.150,,,,
