"Título de trazado: P02"
"N.º","Fecha Tiempo, GMT-05:00","Temp, °C (LGR S/N: 22003743, SEN S/N: 22003743)","Lluvia, mm (LGR S/N: 22003743, SEN S/N: 22003743)","Total acumulativo: Lluvia, mm (LGR S/N: 22003743)","Host conectado (LGR S/N: 22003743)","Acoplador separado (LGR S/N: 22003743)","Batería mala (LGR S/N: 22003743)","Acoplador adjunto (LGR S/N: 22003743)","Final de archivo (LGR S/N: 22003743)"
49,08/21/25 04:48:30 PM,3.472,,,,,,,
50,08/21/25 04:53:30 PM,3.261,,,,,,,
51,08/21/25 04:58:30 PM,2.943,,,,,,,
52,08/21/25 05:03:30 PM,2.730,,,,,,,
53,08/21/25 05:08:30 PM,2.303,,,,,,,
54,08/21/25 05:13:30 PM,1.980,,,,,,,
55,08/21/25 05:18:30 PM,1.872,,,,,,,
56,08/21/25 05:23:30 PM,1.439,,,,,,,
57,08/21/25 05:28:30 PM,1.112,,,,,,,
58,08/21/25 05:33:30 PM,0.784,,,,,,,
59,08/21/25 05:38:30 PM,0.563,,,,,,,
60,08/21/25 05:43:30 PM,0.343,,,,,,,
61,08/21/25 05:48:30 PM,0.232,,,,,,,
62,08/21/25 05:53:30 PM,0.010,,,,,,,
63,08/21/25 05:58:30 PM,-0.102,,,,,,,
64,08/21/25 06:03:30 PM,-0.213,,,,,,,
65,08/21/25 06:08:30 PM,-0.325,,,,,,,
66,08/21/25 06:13:30 PM,-0.437,,,,,,,
67,08/21/25 06:18:30 PM,-0.549,,,,,,,
68,08/21/25 06:23:30 PM,-0.774,,,,,,,
69,08/21/25 06:28:30 PM,-0.887,,,,,,,
70,08/21/25 06:33:30 PM,-0.887,,,,,,,
71,08/21/25 06:38:30 PM,-1.001,,,,,,,
72,08/21/25 06:43:30 PM,-1.228,,,,,,,
73,08/21/25 06:48:30 PM,-1.228,,,,,,,
74,08/21/25 06:53:30 PM,-1.228,,,,,,,
75,08/21/25 06:58:30 PM,-1.114,,,,,,,
76,08/21/25 07:03:30 PM,-1.228,,,,,,,
77,08/21/25 07:08:30 PM,-1.228,,,,,,,
78,08/21/25 07:13:30 PM,-1.114,,,,,,,
79,08/21/25 07:18:30 PM,-1.228,,,,,,,
80,08/21/25 07:23:30 PM,-1.228,,,,,,,
81,08/21/25 07:28:30 PM,-1.341,,,,,,,
82,08/21/25 07:33:30 PM,-1.341,,,,,,,
83,08/21/25 07:38:30 PM,-1.341,,,,,,,
84,08/21/25 07:43:30 PM,-1.341,,,,,,,
85,08/21/25 07:48:30 PM,-1.456,,,,,,,
86,08/21/25 07:53:30 PM,-1.456,,,,,,,
87,08/21/25 07:58:30 PM,-1.456,,,,,,,
88,08/21/25 08:03:30 PM,-1.570,,,,,,,
89,08/21/25 08:08:30 PM,-1.799,,,,,,,
90,08/21/25 08:13:30 PM,-1.914,,,,,,,
91,08/21/25 08:18:30 PM,-2.030,,,,,,,
92,08/21/25 08:23:30 PM,-2.145,,,,,,,
93,08/21/25 08:28:30 PM,-2.145,,,,,,,
94,08/21/25 08:33:30 PM,-2.377,,,,,,,
95,08/21/25 08:38:30 PM,-2.494,,,,,,,
96,08/21/25 08:43:30 PM,-2.494,,,,,,,
97,08/21/25 08:48:30 PM,-2.610,,,,,,,
98,08/21/25 08:53:30 PM,-2.727,,,,,,,
99,08/21/25 08:58:30 PM,-2.844,,,,,,,
100,08/21/25 09:03:30 PM,-3.079,,,,,,,
101,08/21/25 09:08:30 PM,-3.197,,,,,,,
102,08/21/25 09:13:30 PM,-3.316,,,,,,,
103,08/21/25 09:18:30 PM,-3.316,,,,,,,
104,08/21/25 09:23:30 PM,-2.962,,,,,,,
105,08/21/25 09:28:30 PM,-2.610,,,,,,,
106,08/21/25 09:33:30 PM,-2.494,,,,,,,
107,08/21/25 09:38:30 PM,-2.145,,,,,,,
108,08/21/25 09:43:30 PM,-2.261,,,,,,,
109,08/21/25 09:48:30 PM,-2.261,,,,,,,
110,08/21/25 09:53:30 PM,-2.030,,,,,,,
111,08/21/25 09:58:30 PM,-2.030,,,,,,,
112,08/21/25 10:03:30 PM,-2.145,,,,,,,
113,08/21/25 10:08:30 PM,-2.377,,,,,,,
114,08/21/25 10:13:30 PM,-2.494,,,,,,,
115,08/21/25 10:18:30 PM,-2.727,,,,,,,
116,08/21/25 10:23:30 PM,-2.844,,,,,,,
117,08/21/25 10:28:30 PM,-2.610,,,,,,,
118,08/21/25 10:33:30 PM,-2.261,,,,,,,
119,08/21/25 10:38:30 PM,-2.261,,,,,,,
120,08/21/25 10:43:30 PM,-2.145,,,,,,,
121,08/21/25 10:48:30 PM,-2.145,,,,,,,
122,08/21/25 10:53:30 PM,-2.145,,,,,,,
123,08/21/25 10:58:30 PM,-1.914,,,,,,,
124,08/21/25 11:03:30 PM,-2.030,,,,,,,
125,08/21/25 11:08:30 PM,-1.914,,,,,,,
126,08/21/25 11:13:30 PM,-1.914,,,,,,,
127,08/21/25 11:18:30 PM,-2.030,,,,,,,
128,08/21/25 11:23:30 PM,-2.030,,,,,,,
129,08/21/25 11:28:30 PM,-2.030,,,,,,,
130,08/21/25 11:33:30 PM,-2.030,,,,,,,
131,08/21/25 11:38:30 PM,-2.145,,,,,,,
132,08/21/25 11:43:30 PM,-2.145,,,,,,,
133,08/21/25 11:48:30 PM,-2.145,,,,,,,
134,08/21/25 11:53:30 PM,-2.030,,,,,,,
135,08/21/25 11:58:30 PM,-2.030,,,,,,,
136,08/22/25 12:00:00 AM,,,0.0,,,,,
137,08/22/25 12:03:30 AM,-2.145,,,,,,,
138,08/22/25 12:08:30 AM,-2.145,,,,,,,
139,08/22/25 12:13:30 AM,-2.145,,,,,,,
140,08/22/25 12:18:30 AM,-2.030,,,,,,,
141,08/22/25 12:23:30 AM,-2.030,,,,,,,
142,08/22/25 12:28:30 AM,-2.145,,,,,,,
143,08/22/25 12:33:30 AM,-2.145,,,,,,,
144,08/22/25 12:38:30 AM,-2.145,,,,,,,
145,08/22/25 12:43:30 AM,-2.030,,,,,,,
146,08/22/25 12:48:30 AM,-2.030,,,,,,,
147,08/22/25 12:53:30 AM,-2.261,,,,,,,
148,08/22/25 12:58:30 AM,-2.261,,,,,,,
149,08/22/25 01:03:30 AM,-2.261,,,,,,,
150,08/22/25 01:08:30 AM,-2.145,,,,,,,
151,08/22/25 01:13:30 AM,-2.261,,,,,,,
152,08/22/25 01:18:30 AM,-2.261,,,,,,,
153,08/22/25 01:23:30 AM,-2.261,,,,,,,
154,08/22/25 01:28:30 AM,-2.261,,,,,,,
155,08/22/25 01:33:30 AM,-2.261,,,,,,,
156,08/22/25 01:38:30 AM,-2.261,,,,,,,
157,08/22/25 01:43:30 AM,-2.377,,,,,,,
158,08/22/25 01:48:30 AM,-2.377,,,,,,,
159,08/22/25 01:53:30 AM,-2.377,,,,,,,
160,08/22/25 01:58:30 AM,-2.494,,,,,,,
161,08/22/25 02:03:30 AM,-2.494,,,,,,,
162,08/22/25 02:08:30 AM,-2.727,,,,,,,
163,08/22/25 02:13:30 AM,-2.610,,,,,,,
164,08/22/25 02:18:30 AM,-2.610,,,,,,,
165,08/22/25 02:23:30 AM,-2.844,,,,,,,
166,08/22/25 02:28:30 AM,-2.962,,,,,,,
167,08/22/25 02:33:30 AM,-2.844,,,,,,,
168,08/22/25 02:38:30 AM,-2.962,,,,,,,
169,08/22/25 02:43:30 AM,-3.079,,,,,,,
170,08/22/25 02:48:30 AM,-3.079,,,,,,,
171,08/22/25 02:53:30 AM,-2.727,,,,,,,
172,08/22/25 02:58:30 AM,-2.844,,,,,,,
173,08/22/25 03:03:30 AM,-2.727,,,,,,,
174,08/22/25 03:08:30 AM,-2.727,,,,,,,
175,08/22/25 03:13:30 AM,-2.844,,,,,,,
176,08/22/25 03:18:30 AM,-3.197,,,,,,,
177,08/22/25 03:23:30 AM,-3.079,,,,,,,
178,08/22/25 03:28:30 AM,-2.962,,,,,,,
179,08/22/25 03:33:30 AM,-2.844,,,,,,,
180,08/22/25 03:38:30 AM,-2.962,,,,,,,
181,08/22/25 03:43:30 AM,-2.962,,,,,,,
182,08/22/25 03:48:30 AM,-2.962,,,,,,,
183,08/22/25 03:53:30 AM,-3.079,,,,,,,
184,08/22/25 03:58:30 AM,-3.197,,,,,,,
185,08/22/25 04:03:30 AM,-3.197,,,,,,,
186,08/22/25 04:08:30 AM,-3.197,,,,,,,
187,08/22/25 04:13:30 AM,-3.434,,,,,,,
188,08/22/25 04:18:30 AM,-3.553,,,,,,,
189,08/22/25 04:23:30 AM,-3.553,,,,,,,
190,08/22/25 04:28:30 AM,-3.434,,,,,,,
191,08/22/25 04:33:30 AM,-3.553,,,,,,,
192,08/22/25 04:38:30 AM,-3.553,,,,,,,
193,08/22/25 04:43:30 AM,-3.672,,,,,,,
194,08/22/25 04:48:30 AM,-3.792,,,,,,,
195,08/22/25 04:53:30 AM,-3.911,,,,,,,
196,08/22/25 04:58:30 AM,-3.672,,,,,,,
197,08/22/25 05:03:30 AM,-3.434,,,,,,,
198,08/22/25 05:08:30 AM,-3.553,,,,,,,
199,08/22/25 05:13:30 AM,-3.792,,,,,,,
200,08/22/25 05:18:30 AM,-3.792,,,,,,,
201,08/22/25 05:23:30 AM,-3.792,,,,,,,
202,08/22/25 05:28:30 AM,-3.792,,,,,,,
203,08/22/25 05:33:30 AM,-3.792,,,,,,,
204,08/22/25 05:38:30 AM,-3.792,,,,,,,
205,08/22/25 05:43:30 AM,-3.792,,,,,,,
206,08/22/25 05:48:30 AM,-4.031,,,,,,,
207,08/22/25 05:53:30 AM,-4.152,,,,,,,
208,08/22/25 05:58:30 AM,-4.031,,,,,,,
209,08/22/25 06:03:30 AM,-4.031,,,,,,,
210,08/22/25 06:08:30 AM,-3.911,,,,,,,
211,08/22/25 06:13:30 AM,-3.672,,,,,,,
212,08/22/25 06:18:30 AM,-3.672,,,,,,,
213,08/22/25 06:23:30 AM,-3.553,,,,,,,
214,08/22/25 06:28:30 AM,-3.434,,,,,,,
215,08/22/25 06:33:30 AM,-3.434,,,,,,,
216,08/22/25 06:38:30 AM,-3.197,,,,,,,
217,08/22/25 06:43:30 AM,-2.844,,,,,,,
218,08/22/25 06:48:30 AM,-2.844,,,,,,,
219,08/22/25 06:53:30 AM,-2.727,,,,,,,
220,08/22/25 06:58:30 AM,-2.494,,,,,,,
221,08/22/25 07:03:30 AM,-2.494,,,,,,,
222,08/22/25 07:08:30 AM,-2.377,,,,,,,
223,08/22/25 07:13:30 AM,-2.261,,,,,,,
224,08/22/25 07:18:30 AM,-2.030,,,,,,,
225,08/22/25 07:23:30 AM,-1.799,,,,,,,
226,08/22/25 07:28:30 AM,-1.684,,,,,,,
227,08/22/25 07:33:30 AM,-1.570,,,,,,,
228,08/22/25 07:38:30 AM,-1.456,,,,,,,
229,08/22/25 07:43:30 AM,-1.228,,,,,,,
230,08/22/25 07:48:30 AM,-0.887,,,,,,,
231,08/22/25 07:53:30 AM,-0.774,,,,,,,
232,08/22/25 07:58:30 AM,-0.549,,,,,,,
233,08/22/25 08:03:30 AM,-0.437,,,,,,,
234,08/22/25 08:08:30 AM,-0.325,,,,,,,
235,08/22/25 08:13:30 AM,-0.213,,,,,,,
236,08/22/25 08:18:30 AM,-0.102,,,,,,,
237,08/22/25 08:23:30 AM,-0.213,,,,,,,
238,08/22/25 08:28:30 AM,-0.213,,,,,,,
239,08/22/25 08:33:30 AM,0.121,,,,,,,
240,08/22/25 08:38:30 AM,0.453,,,,,,,
241,08/22/25 08:43:30 AM,0.343,,,,,,,
242,08/22/25 08:48:30 AM,0.453,,,,,,,
243,08/22/25 08:53:30 AM,0.893,,,,,,,
244,08/22/25 08:58:30 AM,1.330,,,,,,,
245,08/22/25 09:03:30 AM,1.764,,,,,,,
246,08/22/25 09:08:30 AM,1.872,,,,,,,
247,08/22/25 09:13:30 AM,1.439,,,,,,,
248,08/22/25 09:18:30 AM,1.439,,,,,,,
249,08/22/25 09:23:30 AM,1.548,,,,,,,
250,08/22/25 09:28:30 AM,2.088,,,,,,,
251,08/22/25 09:33:30 AM,2.410,,,,,,,
252,08/22/25 09:38:30 AM,2.730,,,,,,,
253,08/22/25 09:43:30 AM,2.943,,,,,,,
254,08/22/25 09:48:30 AM,2.943,,,,,,,
255,08/22/25 09:53:30 AM,2.943,,,,,,,
256,08/22/25 09:58:30 AM,3.367,,,,,,,
257,08/22/25 10:03:30 AM,3.049,,,,,,,
258,08/22/25 10:08:30 AM,3.261,,,,,,,
259,08/22/25 10:13:30 AM,3.788,,,,,,,
260,08/22/25 10:18:30 AM,3.893,,,,,,,
261,08/22/25 10:23:30 AM,3.788,,,,,,,
262,08/22/25 10:28:30 AM,3.788,,,,,,,
263,08/22/25 10:33:30 AM,4.311,,,,,,,
264,08/22/25 10:38:30 AM,4.415,,,,,,,
265,08/22/25 10:43:30 AM,4.934,,,,,,,
266,08/22/25 10:48:30 AM,4.519,,,,,,,
267,08/22/25 10:53:30 AM,4.519,,,,,,,
268,08/22/25 10:58:30 AM,5.037,,,,,,,
269,08/22/25 11:03:30 AM,5.037,,,,,,,
270,08/22/25 11:08:30 AM,5.037,,,,,,,
271,08/22/25 11:13:30 AM,5.037,,,,,,,
272,08/22/25 11:18:30 AM,5.450,,,,,,,
273,08/22/25 11:23:30 AM,5.450,,,,,,,
274,08/22/25 11:28:30 AM,5.450,,,,,,,
275,08/22/25 11:33:30 AM,5.860,,,,,,,
276,08/22/25 11:38:30 AM,5.962,,,,,,,
277,08/22/25 11:43:30 AM,5.757,,,,,,,
278,08/22/25 11:48:30 AM,6.064,,,,,,,
279,08/22/25 11:53:30 AM,5.860,,,,,,,
280,08/22/25 11:58:30 AM,5.962,,,,,,,
281,08/22/25 12:03:30 PM,5.655,,,,,,,
282,08/22/25 12:08:30 PM,5.757,,,,,,,
283,08/22/25 12:13:30 PM,6.064,,,,,,,
284,08/22/25 12:18:30 PM,6.268,,,,,,,
285,08/22/25 12:23:30 PM,6.268,,,,,,,
286,08/22/25 12:28:30 PM,5.757,,,,,,,
287,08/22/25 12:33:30 PM,5.552,,,,,,,
288,08/22/25 12:38:30 PM,5.757,,,,,,,
289,08/22/25 12:43:30 PM,5.757,,,,,,,
290,08/22/25 12:48:30 PM,5.962,,,,,,,
291,08/22/25 12:53:30 PM,6.064,,,,,,,
292,08/22/25 12:58:30 PM,6.166,,,,,,,
293,08/22/25 01:03:30 PM,5.757,,,,,,,
294,08/22/25 01:08:30 PM,5.450,,,,,,,
295,08/22/25 01:13:30 PM,5.450,,,,,,,
296,08/22/25 01:18:30 PM,5.655,,,,,,,
297,08/22/25 01:23:30 PM,5.655,,,,,,,
298,08/22/25 01:28:30 PM,5.860,,,,,,,
299,08/22/25 01:33:30 PM,6.064,,,,,,,
300,08/22/25 01:38:30 PM,5.450,,,,,,,
301,08/22/25 01:43:30 PM,5.860,,,,,,,
302,08/22/25 01:48:30 PM,5.655,,,,,,,
303,08/22/25 01:53:30 PM,5.962,,,,,,,
304,08/22/25 01:58:30 PM,5.655,,,,,,,
305,08/22/25 02:03:30 PM,5.655,,,,,,,
306,08/22/25 02:08:30 PM,5.655,,,,,,,
307,08/22/25 02:13:30 PM,5.962,,,,,,,
308,08/22/25 02:18:30 PM,5.757,,,,,,,
309,08/22/25 02:23:30 PM,5.347,,,,,,,
310,08/22/25 02:28:30 PM,5.347,,,,,,,
311,08/22/25 02:33:30 PM,4.831,,,,,,,
312,08/22/25 02:38:30 PM,4.831,,,,,,,
313,08/22/25 02:43:30 PM,5.037,,,,,,,
314,08/22/25 02:48:30 PM,4.831,,,,,,,
315,08/22/25 02:53:30 PM,5.037,,,,,,,
316,08/22/25 02:58:30 PM,4.415,,,,,,,
317,08/22/25 03:03:30 PM,4.519,,,,,,,
318,08/22/25 03:08:30 PM,3.998,,,,,,,
319,08/22/25 03:13:30 PM,3.683,,,,,,,
320,08/22/25 03:18:30 PM,3.683,,,,,,,
321,08/22/25 03:23:30 PM,3.578,,,,,,,
322,08/22/25 03:28:30 PM,3.683,,,,,,,
323,08/22/25 03:33:30 PM,3.893,,,,,,,
324,08/22/25 03:38:30 PM,3.893,,,,,,,
325,08/22/25 03:43:30 PM,3.998,,,,,,,
326,08/22/25 03:48:30 PM,3.472,,,,,,,
327,08/22/25 03:53:30 PM,3.578,,,,,,,
328,08/22/25 03:58:30 PM,3.578,,,,,,,
329,08/22/25 04:03:30 PM,3.049,,,,,,,
330,08/22/25 04:08:30 PM,2.837,,,,,,,
331,08/22/25 04:13:30 PM,2.730,,,,,,,
332,08/22/25 04:18:30 PM,2.410,,,,,,,
333,08/22/25 04:23:30 PM,2.195,,,,,,,
334,08/22/25 04:28:30 PM,2.088,,,,,,,
335,08/22/25 04:33:30 PM,1.764,,,,,,,
336,08/22/25 04:38:30 PM,1.656,,,,,,,
337,08/22/25 04:43:30 PM,1.439,,,,,,,
338,08/22/25 04:48:30 PM,1.112,,,,,,,
339,08/22/25 04:53:30 PM,0.563,,,,,,,
340,08/22/25 04:58:30 PM,0.453,,,,,,,
341,08/22/25 05:03:30 PM,0.343,,,,,,,
342,08/22/25 05:08:30 PM,0.121,,,,,,,
343,08/22/25 05:13:30 PM,-0.325,,,,,,,
344,08/22/25 05:18:30 PM,-0.774,,,,,,,
345,08/22/25 05:23:30 PM,-1.001,,,,,,,
346,08/22/25 05:28:30 PM,-1.228,,,,,,,
347,08/22/25 05:33:30 PM,-1.456,,,,,,,
348,08/22/25 05:38:30 PM,-1.684,,,,,,,
349,08/22/25 05:43:30 PM,-1.799,,,,,,,
350,08/22/25 05:48:30 PM,-1.914,,,,,,,
351,08/22/25 05:53:30 PM,-1.914,,,,,,,
352,08/22/25 05:58:30 PM,-2.030,,,,,,,
353,08/22/25 06:03:30 PM,-2.145,,,,,,,
354,08/22/25 06:08:30 PM,-2.261,,,,,,,
355,08/22/25 06:13:30 PM,-2.377,,,,,,,
356,08/22/25 06:18:30 PM,-2.377,,,,,,,
357,08/22/25 06:23:30 PM,-2.377,,,,,,,
358,08/22/25 06:28:30 PM,-2.377,,,,,,,
359,08/22/25 06:33:30 PM,-2.494,,,,,,,
360,08/22/25 06:38:30 PM,-2.494,,,,,,,
361,08/22/25 06:43:30 PM,-2.494,,,,,,,
362,08/22/25 06:48:30 PM,-2.610,,,,,,,
363,08/22/25 06:53:30 PM,-2.727,,,,,,,
364,08/22/25 06:58:30 PM,-2.610,,,,,,,
365,08/22/25 07:03:30 PM,-2.610,,,,,,,
366,08/22/25 07:08:30 PM,-2.610,,,,,,,
367,08/22/25 07:13:30 PM,-2.610,,,,,,,
368,08/22/25 07:18:30 PM,-2.727,,,,,,,
369,08/22/25 07:23:30 PM,-2.727,,,,,,,
370,08/22/25 07:28:30 PM,-2.844,,,,,,,
371,08/22/25 07:33:30 PM,-2.727,,,,,,,
372,08/22/25 07:38:30 PM,-2.727,,,,,,,
373,08/22/25 07:43:30 PM,-2.727,,,,,,,
374,08/22/25 07:48:30 PM,-2.727,,,,,,,
375,08/22/25 07:53:30 PM,-2.727,,,,,,,
376,08/22/25 07:58:30 PM,-2.727,,,,,,,
377,08/22/25 08:03:30 PM,-2.727,,,,,,,
378,08/22/25 08:08:30 PM,-2.727,,,,,,,
379,08/22/25 08:13:30 PM,-2.727,,,,,,,
380,08/22/25 08:18:30 PM,-2.844,,,,,,,
381,08/22/25 08:23:30 PM,-2.844,,,,,,,
382,08/22/25 08:28:30 PM,-2.844,,,,,,,
383,08/22/25 08:33:30 PM,-2.727,,,,,,,
384,08/22/25 08:38:30 PM,-2.727,,,,,,,
385,08/22/25 08:43:30 PM,-2.844,,,,,,,
386,08/22/25 08:48:30 PM,-3.079,,,,,,,
387,08/22/25 08:53:30 PM,-3.079,,,,,,,
388,08/22/25 08:58:30 PM,-3.316,,,,,,,
389,08/22/25 09:03:30 PM,-3.316,,,,,,,
390,08/22/25 09:08:30 PM,-3.434,,,,,,,
391,08/22/25 09:13:30 PM,-3.434,,,,,,,
392,08/22/25 09:18:30 PM,-3.553,,,,,,,
393,08/22/25 09:23:30 PM,-3.553,,,,,,,
394,08/22/25 09:28:30 PM,-3.553,,,,,,,
395,08/22/25 09:33:30 PM,-3.553,,,,,,,
396,08/22/25 09:38:30 PM,-3.553,,,,,,,
397,08/22/25 09:43:30 PM,-3.553,,,,,,,
398,08/22/25 09:48:30 PM,-3.434,,,,,,,
399,08/22/25 09:53:30 PM,-3.434,,,,,,,
400,08/22/25 09:58:30 PM,-3.672,,,,,,,
401,08/22/25 10:03:30 PM,-3.672,,,,,,,
402,08/22/25 10:08:30 PM,-3.672,,,,,,,
403,08/22/25 10:13:30 PM,-3.434,,,,,,,
404,08/22/25 10:18:30 PM,-3.434,,,,,,,
405,08/22/25 10:23:30 PM,-3.553,,,,,,,
406,08/22/25 10:28:30 PM,-3.434,,,,,,,
407,08/22/25 10:33:30 PM,-3.197,,,,,,,
408,08/22/25 10:38:30 PM,-2.962,,,,,,,
409,08/22/25 10:43:30 PM,-3.079,,,,,,,
410,08/22/25 10:48:30 PM,-3.316,,,,,,,
411,08/22/25 10:53:30 PM,-3.672,,,,,,,
412,08/22/25 10:58:30 PM,-4.031,,,,,,,
413,08/22/25 11:03:30 PM,-4.152,,,,,,,
414,08/22/25 11:08:30 PM,-4.152,,,,,,,
415,08/22/25 11:13:30 PM,-3.792,,,,,,,
416,08/22/25 11:18:30 PM,-3.553,,,,,,,
417,08/22/25 11:23:30 PM,-3.553,,,,,,,
418,08/22/25 11:28:30 PM,-3.553,,,,,,,
419,08/22/25 11:33:30 PM,-3.672,,,,,,,
420,08/22/25 11:38:30 PM,-3.911,,,,,,,
421,08/22/25 11:43:30 PM,-3.911,,,,,,,
422,08/22/25 11:48:30 PM,-3.672,,,,,,,
423,08/22/25 11:53:30 PM,-3.434,,,,,,,
424,08/22/25 11:58:30 PM,-3.079,,,,,,,
425,08/23/25 12:00:00 AM,,,0.0,,,,,
426,08/23/25 12:03:30 AM,-3.079,,,,,,,
427,08/23/25 12:08:30 AM,-3.079,,,,,,,
428,08/23/25 12:13:30 AM,-3.079,,,,,,,
429,08/23/25 12:18:30 AM,-3.197,,,,,,,
430,08/23/25 12:23:30 AM,-3.553,,,,,,,
431,08/23/25 12:28:30 AM,-3.792,,,,,,,
432,08/23/25 12:33:30 AM,-3.792,,,,,,,
433,08/23/25 12:38:30 AM,-3.911,,,,,,,
434,08/23/25 12:43:30 AM,-4.152,,,,,,,
435,08/23/25 12:48:30 AM,-4.152,,,,,,,
436,08/23/25 12:53:30 AM,-4.393,,,,,,,
437,08/23/25 12:58:30 AM,-4.514,,,,,,,
438,08/23/25 01:03:30 AM,-4.636,,,,,,,
439,08/23/25 01:08:30 AM,-4.758,,,,,,,
440,08/23/25 01:13:30 AM,-4.758,,,,,,,
441,08/23/25 01:18:30 AM,-4.880,,,,,,,
442,08/23/25 01:23:30 AM,-4.880,,,,,,,
443,08/23/25 01:28:30 AM,-4.880,,,,,,,
444,08/23/25 01:33:30 AM,-4.758,,,,,,,
445,08/23/25 01:38:30 AM,-4.636,,,,,,,
446,08/23/25 01:43:30 AM,-4.636,,,,,,,
447,08/23/25 01:48:30 AM,-4.514,,,,,,,
448,08/23/25 01:53:30 AM,-4.393,,,,,,,
449,08/23/25 01:58:30 AM,-4.393,,,,,,,
450,08/23/25 02:03:30 AM,-4.152,,,,,,,
451,08/23/25 02:08:30 AM,-3.911,,,,,,,
452,08/23/25 02:13:30 AM,-4.031,,,,,,,
453,08/23/25 02:18:30 AM,-3.792,,,,,,,
454,08/23/25 02:23:30 AM,-3.672,,,,,,,
455,08/23/25 02:28:30 AM,-3.434,,,,,,,
456,08/23/25 02:33:30 AM,-3.434,,,,,,,
457,08/23/25 02:38:30 AM,-3.434,,,,,,,
458,08/23/25 02:43:30 AM,-3.672,,,,,,,
459,08/23/25 02:48:30 AM,-3.672,,,,,,,
460,08/23/25 02:53:30 AM,-3.672,,,,,,,
461,08/23/25 02:58:30 AM,-3.672,,,,,,,
462,08/23/25 03:03:30 AM,-3.792,,,,,,,
463,08/23/25 03:08:30 AM,-3.792,,,,,,,
464,08/23/25 03:13:30 AM,-3.911,,,,,,,
465,08/23/25 03:18:30 AM,-3.911,,,,,,,
466,08/23/25 03:23:30 AM,-3.911,,,,,,,
467,08/23/25 03:28:30 AM,-3.792,,,,,,,
468,08/23/25 03:33:30 AM,-3.792,,,,,,,
469,08/23/25 03:38:30 AM,-3.672,,,,,,,
470,08/23/25 03:43:30 AM,-3.553,,,,,,,
471,08/23/25 03:48:30 AM,-3.434,,,,,,,
472,08/23/25 03:53:30 AM,-3.434,,,,,,,
