"Título de trazado: Estacion1"
"N.º","Fecha Tiempo, GMT-05:00","Lluvia, mm (LGR S/N: 21471862, SEN S/N: 21560958)"
331,23/03/09 11:40:42,0.00
332,23/03/09 11:45:42,0.00
333,23/03/09 11:50:42,0.00
334,23/03/09 11:55:42,0.00
335,23/03/09 12:00:42,0.00
336,23/03/09 12:05:42,0.00
337,23/03/09 12:10:42,0.00
338,23/03/09 12:15:42,0.00
339,23/03/09 12:20:42,0.00
340,23/03/09 12:25:42,0.00
341,23/03/09 12:30:42,0.00
342,23/03/09 12:35:42,0.00
343,23/03/09 12:40:42,0.00
344,23/03/09 12:45:42,0.00
345,23/03/09 12:50:42,0.00
346,23/03/09 12:55:42,0.00
347,23/03/09 13:00:42,0.00
348,23/03/09 13:05:42,0.00
349,23/03/09 13:10:42,0.00
350,23/03/09 13:15:42,0.00
351,23/03/09 13:20:42,0.00
352,23/03/09 13:25:42,0.00
353,23/03/09 13:30:42,0.00
354,23/03/09 13:35:42,0.00
355,23/03/09 13:40:42,0.00
356,23/03/09 13:45:42,0.00
357,23/03/09 13:50:42,0.00
358,23/03/09 13:55:42,0.00
359,23/03/09 14:00:42,0.00
360,23/03/09 14:05:42,0.00
361,23/03/09 14:10:42,0.00
362,23/03/09 14:15:42,0.00
363,23/03/09 14:20:42,0.00
364,23/03/09 14:25:42,0.00
365,23/03/09 14:30:42,0.00
366,23/03/09 14:35:42,0.00
367,23/03/09 14:40:42,0.00
368,23/03/09 14:45:42,0.00
369,23/03/09 14:50:42,0.00
370,23/03/09 14:55:42,0.00
371,23/03/09 15:00:42,0.00
372,23/03/09 15:05:42,0.00
373,23/03/09 15:10:42,0.00
374,23/03/09 15:15:42,0.00
375,23/03/09 15:20:42,0.00
376,23/03/09 15:25:42,0.00
377,23/03/09 15:30:42,0.00
378,23/03/09 15:35:42,0.00
379,23/03/09 15:40:42,0.00
380,23/03/09 15:45:42,0.00
381,23/03/09 15:50:42,0.00
382,23/03/09 15:55:42,0.00
383,23/03/09 16:00:42,0.00
384,23/03/09 16:05:42,0.00
385,23/03/09 16:10:42,0.00
386,23/03/09 16:15:42,0.00
387,23/03/09 16:20:42,0.00
388,23/03/09 16:25:42,0.00
389,23/03/09 16:30:42,0.00
390,23/03/09 16:35:42,0.00
391,23/03/09 16:40:42,0.00
392,23/03/09 16:45:42,0.00
393,23/03/09 16:50:42,0.00
394,23/03/09 16:55:42,0.00
395,23/03/09 17:00:42,0.00
396,23/03/09 17:05:42,0.00
397,23/03/09 17:10:42,0.00
398,23/03/09 17:15:42,0.00
399,23/03/09 17:20:42,0.00
400,23/03/09 17:25:42,0.00
401,23/03/09 17:30:42,0.00
402,23/03/09 17:35:42,0.00
403,23/03/09 17:40:42,0.00
404,23/03/09 17:45:42,0.00
405,23/03/09 17:50:42,0.00
406,23/03/09 17:55:42,0.00
407,23/03/09 18:00:42,0.00
408,23/03/09 18:05:42,0.00
409,23/03/09 18:10:42,0.00
410,23/03/09 18:15:42,0.00
411,23/03/09 18:20:42,0.00
412,23/03/09 18:25:42,0.00
413,23/03/09 18:30:42,0.00
414,23/03/09 18:35:42,0.00
415,23/03/09 18:40:42,0.00
416,23/03/09 18:45:42,0.00
417,23/03/09 18:50:42,0.00
418,23/03/09 18:55:42,0.00
419,23/03/09 19:00:42,0.00
420,23/03/09 19:05:42,0.00
421,23/03/09 19:10:42,0.00
422,23/03/09 19:15:42,0.00
423,23/03/09 19:20:42,0.00
424,23/03/09 19:25:42,0.00
425,23/03/09 19:30:42,0.00
426,23/03/09 19:35:42,0.00
427,23/03/09 19:40:42,0.00
428,23/03/09 19:45:42,0.00
429,23/03/09 19:50:42,0.00
430,23/03/09 19:55:42,0.00
431,23/03/09 20:00:42,0.00
432,23/03/09 20:05:42,0.00
433,23/03/09 20:10:42,0.00
434,23/03/09 20:15:42,0.00
435,23/03/09 20:20:42,0.00
436,23/03/09 20:25:42,0.00
437,23/03/09 20:30:42,0.00
438,23/03/09 20:35:42,0.00
439,23/03/09 20:40:42,0.00
440,23/03/09 20:45:42,0.00
441,23/03/09 20:50:42,0.00
442,23/03/09 20:55:42,0.00
443,23/03/09 21:00:42,0.00
444,23/03/09 21:05:42,0.00
445,23/03/09 21:10:42,0.00
446,23/03/09 21:15:42,0.00
447,23/03/09 21:20:42,0.00
448,23/03/09 21:25:42,0.00
449,23/03/09 21:30:42,0.00
450,23/03/09 21:35:42,0.00
451,23/03/09 21:40:42,0.00
452,23/03/09 21:45:42,0.00
453,23/03/09 21:50:42,0.00
454,23/03/09 21:55:42,0.00
455,23/03/09 22:00:42,0.00
456,23/03/09 22:05:42,0.00
457,23/03/09 22:10:42,0.00
458,23/03/09 22:15:42,0.00
459,23/03/09 22:20:42,0.00
460,23/03/09 22:25:42,0.00
461,23/03/09 22:30:42,0.00
462,23/03/09 22:35:42,0.00
463,23/03/09 22:40:42,0.00
464,23/03/09 22:45:42,0.00
465,23/03/09 22:50:42,0.00
466,23/03/09 22:55:42,0.00
467,23/03/09 23:00:42,0.00
468,23/03/09 23:05:42,0.00
469,23/03/09 23:10:42,0.00
470,23/03/09 23:15:42,0.00
471,23/03/09 23:20:42,0.00
472,23/03/09 23:25:42,0.00
473,23/03/09 23:30:42,0.00
474,23/03/09 23:35:42,0.00
475,23/03/09 23:40:42,0.00
476,23/03/09 23:45:42,0.00
477,23/03/09 23:50:42,0.00
478,23/03/09 23:55:42,0.00
479,23/03/10 00:00:42,0.00
480,23/03/10 00:05:42,0.00
481,23/03/10 00:10:42,0.00
482,23/03/10 00:15:42,0.00
483,23/03/10 00:20:42,0.00
484,23/03/10 00:25:42,0.00
485,23/03/10 00:30:42,0.00
486,23/03/10 00:35:42,0.00
487,23/03/10 00:40:42,0.00
488,23/03/10 00:45:42,0.00
489,23/03/10 00:50:42,0.00
490,23/03/10 00:55:42,0.00
491,23/03/10 01:00:42,0.00
492,23/03/10 01:05:42,0.00
493,23/03/10 01:10:42,0.00
494,23/03/10 01:15:42,0.00
495,23/03/10 01:20:42,0.00
496,23/03/10 01:25:42,0.00
497,23/03/10 01:30:42,0.00
498,23/03/10 01:35:42,0.00
499,23/03/10 01:40:42,0.00
500,23/03/10 01:45:42,0.00
501,23/03/10 01:50:42,0.00
502,23/03/10 01:55:42,0.00
503,23/03/10 02:00:42,0.00
504,23/03/10 02:05:42,0.00
505,23/03/10 02:10:42,0.00
506,23/03/10 02:15:42,0.00
507,23/03/10 02:20:42,0.00
508,23/03/10 02:25:42,0.00
509,23/03/10 02:30:42,0.00
510,23/03/10 02:35:42,0.00
511,23/03/10 02:40:42,0.00
512,23/03/10 02:45:42,0.00
513,23/03/10 02:50:42,0.00
514,23/03/10 02:55:42,0.00
515,23/03/10 03:00:42,0.00
516,23/03/10 03:05:42,0.00
517,23/03/10 03:10:42,0.00
518,23/03/10 03:15:42,0.00
519,23/03/10 03:20:42,0.00
520,23/03/10 03:25:42,0.00
521,23/03/10 03:30:42,0.00
522,23/03/10 03:35:42,0.00
523,23/03/10 03:40:42,0.00
524,23/03/10 03:45:42,0.00
525,23/03/10 03:50:42,0.00
526,23/03/10 03:55:42,0.00
527,23/03/10 04:00:42,0.00
528,23/03/10 04:05:42,0.00
529,23/03/10 04:10:42,0.00
530,23/03/10 04:15:42,0.00
531,23/03/10 04:20:42,0.00
532,23/03/10 04:25:42,0.00
533,23/03/10 04:30:42,0.00
534,23/03/10 04:35:42,0.00
535,23/03/10 04:40:42,0.00
536,23/03/10 04:45:42,0.00
537,23/03/10 04:50:42,0.00
538,23/03/10 04:55:42,0.00
539,23/03/10 05:00:42,0.00
540,23/03/10 05:05:42,0.00
541,23/03/10 05:10:42,0.00
542,23/03/10 05:15:42,0.00
543,23/03/10 05:20:42,0.00
544,23/03/10 05:25:42,0.00
545,23/03/10 05:30:42,0.00
546,23/03/10 05:35:42,0.00
547,23/03/10 05:40:42,0.00
548,23/03/10 05:45:42,0.00
549,23/03/10 05:50:42,0.00
550,23/03/10 05:55:42,0.00
551,23/03/10 06:00:42,0.00
552,23/03/10 06:05:42,0.00
553,23/03/10 06:10:42,0.00
554,23/03/10 06:15:42,0.00
555,23/03/10 06:20:42,0.00
556,23/03/10 06:25:42,0.00
557,23/03/10 06:30:42,0.00
558,23/03/10 06:35:42,0.00
559,23/03/10 06:40:42,0.00
560,23/03/10 06:45:42,0.00
561,23/03/10 06:50:42,0.00
562,23/03/10 06:55:42,0.00
563,23/03/10 07:00:42,0.00
564,23/03/10 07:05:42,0.00
565,23/03/10 07:10:42,0.00
566,23/03/10 07:15:42,0.00
567,23/03/10 07:20:42,0.00
568,23/03/10 07:25:42,0.00
569,23/03/10 07:30:42,0.00
570,23/03/10 07:35:42,0.00
571,23/03/10 07:40:42,0.00
572,23/03/10 07:45:42,0.00
573,23/03/10 07:50:42,0.00
574,23/03/10 07:55:42,0.00
575,23/03/10 08:00:42,0.00
576,23/03/10 08:05:42,0.00
577,23/03/10 08:10:42,0.00
578,23/03/10 08:15:42,0.00
579,23/03/10 08:20:42,0.00
580,23/03/10 08:25:42,0.00
581,23/03/10 08:30:42,0.00
582,23/03/10 08:35:42,0.00
583,23/03/10 08:40:42,0.00
584,23/03/10 08:45:42,0.00
585,23/03/10 08:50:42,0.00
586,23/03/10 08:55:42,0.00
587,23/03/10 09:00:42,0.00
588,23/03/10 09:05:42,0.00
589,23/03/10 09:10:42,0.00
590,23/03/10 09:15:42,0.00
591,23/03/10 09:20:42,0.00
592,23/03/10 09:25:42,0.00
593,23/03/10 09:30:42,0.00
594,23/03/10 09:35:42,0.00
595,23/03/10 09:40:42,0.00
596,23/03/10 09:45:42,0.00
597,23/03/10 09:50:42,0.00
598,23/03/10 09:55:42,0.00
599,23/03/10 10:00:42,0.00
600,23/03/10 10:05:42,0.00
601,23/03/10 10:10:42,0.00
602,23/03/10 10:15:42,0.00
603,23/03/10 10:20:42,0.00
604,23/03/10 10:25:42,0.00
605,23/03/10 10:30:42,0.00
606,23/03/10 10:35:42,0.00
607,23/03/10 10:40:42,0.00
608,23/03/10 10:45:42,0.00
609,23/03/10 10:50:42,0.00
610,23/03/10 10:55:42,0.00
611,23/03/10 11:00:42,0.00
612,23/03/10 11:05:42,0.00
613,23/03/10 11:10:42,0.00
614,23/03/10 11:15:42,0.00
615,23/03/10 11:20:42,0.00
616,23/03/10 11:25:42,0.00
617,23/03/10 11:30:42,0.00
618,23/03/10 11:35:42,0.00
619,23/03/10 11:40:42,0.00
620,23/03/10 11:45:42,0.00
621,23/03/10 11:50:42,0.00
622,23/03/10 11:55:42,0.00
623,23/03/10 12:00:42,0.00
624,23/03/10 12:05:42,0.00
625,23/03/10 12:10:42,0.00
626,23/03/10 12:15:42,0.00
627,23/03/10 12:20:42,0.00
628,23/03/10 12:25:42,0.00
629,23/03/10 12:30:42,0.00
630,23/03/10 12:35:42,0.00
631,23/03/10 12:40:42,0.00
632,23/03/10 12:45:42,0.00
633,23/03/10 12:50:42,0.00
634,23/03/10 12:55:42,0.00
635,23/03/10 13:00:42,0.40
636,23/03/10 13:05:42,0.00
637,23/03/10 13:10:42,0.20
638,23/03/10 13:15:42,0.00
639,23/03/10 13:20:42,0.20
640,23/03/10 13:25:42,0.00
641,23/03/10 13:30:42,0.20
642,23/03/10 13:35:42,0.00
643,23/03/10 13:40:42,0.20
644,23/03/10 13:45:42,0.00
645,23/03/10 13:50:42,0.00
646,23/03/10 13:55:42,0.00
647,23/03/10 14:00:42,0.00
648,23/03/10 14:05:42,0.00
649,23/03/10 14:10:42,0.00
650,23/03/10 14:15:42,0.00
651,23/03/10 14:20:42,0.00
652,23/03/10 14:25:42,0.00
653,23/03/10 14:30:42,0.00
654,23/03/10 14:35:42,0.00
655,23/03/10 14:40:42,0.00
656,23/03/10 14:45:42,0.00
657,23/03/10 14:50:42,0.00
658,23/03/10 14:55:42,0.00
659,23/03/10 15:00:42,0.00
660,23/03/10 15:05:42,0.00
661,23/03/10 15:10:42,0.00
662,23/03/10 15:15:42,0.00
663,23/03/10 15:20:42,0.00
664,23/03/10 15:25:42,0.00
665,23/03/10 15:30:42,0.20
666,23/03/10 15:35:42,0.20
667,23/03/10 15:40:42,1.20
668,23/03/10 15:45:42,0.20
669,23/03/10 15:50:42,0.40
670,23/03/10 15:55:42,0.00
671,23/03/10 16:00:42,0.00
672,23/03/10 16:05:42,0.20
673,23/03/10 16:10:42,0.00
674,23/03/10 16:15:42,0.00
675,23/03/10 16:20:42,0.00
676,23/03/10 16:25:42,0.00
677,23/03/10 16:30:42,0.00
678,23/03/10 16:35:42,0.00
679,23/03/10 16:40:42,0.20
680,23/03/10 16:45:42,0.00
681,23/03/10 16:50:42,0.00
682,23/03/10 16:55:42,0.00
683,23/03/10 17:00:42,0.00
684,23/03/10 17:05:42,0.00
685,23/03/10 17:10:42,0.00
686,23/03/10 17:15:42,0.00
687,23/03/10 17:20:42,0.00
688,23/03/10 17:25:42,0.00
689,23/03/10 17:30:42,0.00
690,23/03/10 17:35:42,0.00
691,23/03/10 17:40:42,0.00
692,23/03/10 17:45:42,0.00
693,23/03/10 17:50:42,0.00
694,23/03/10 17:55:42,0.00
695,23/03/10 18:00:42,0.00
696,23/03/10 18:05:42,0.00
697,23/03/10 18:10:42,0.00
698,23/03/10 18:15:42,0.00
699,23/03/10 18:20:42,0.00
700,23/03/10 18:25:42,0.00
701,23/03/10 18:30:42,0.00
702,23/03/10 18:35:42,0.00
703,23/03/10 18:40:42,0.00
704,23/03/10 18:45:42,0.00
705,23/03/10 18:50:42,0.00
706,23/03/10 18:55:42,0.00
707,23/03/10 19:00:42,0.00
708,23/03/10 19:05:42,0.00
709,23/03/10 19:10:42,0.00
710,23/03/10 19:15:42,0.00
711,23/03/10 19:20:42,0.00
712,23/03/10 19:25:42,0.00
713,23/03/10 19:30:42,0.00
714,23/03/10 19:35:42,0.00
715,23/03/10 19:40:42,0.00
716,23/03/10 19:45:42,0.00
717,23/03/10 19:50:42,0.00
718,23/03/10 19:55:42,0.00
719,23/03/10 20:00:42,0.00
720,23/03/10 20:05:42,0.00
721,23/03/10 20:10:42,0.00
722,23/03/10 20:15:42,0.00
723,23/03/10 20:20:42,0.00
724,23/03/10 20:25:42,0.00
725,23/03/10 20:30:42,0.00
726,23/03/10 20:35:42,0.00
727,23/03/10 20:40:42,0.00
728,23/03/10 20:45:42,0.00
729,23/03/10 20:50:42,0.00
730,23/03/10 20:55:42,0.00
731,23/03/10 21:00:42,0.00
732,23/03/10 21:05:42,0.00
733,23/03/10 21:10:42,0.00
734,23/03/10 21:15:42,0.00
735,23/03/10 21:20:42,0.00
736,23/03/10 21:25:42,0.00
737,23/03/10 21:30:42,0.00
738,23/03/10 21:35:42,0.00
739,23/03/10 21:40:42,0.00
740,23/03/10 21:45:42,0.00
741,23/03/10 21:50:42,0.00
742,23/03/10 21:55:42,0.00
743,23/03/10 22:00:42,0.00
744,23/03/10 22:05:42,0.00
745,23/03/10 22:10:42,0.00
746,23/03/10 22:15:42,0.00
747,23/03/10 22:20:42,0.00
748,23/03/10 22:25:42,0.00
749,23/03/10 22:30:42,0.00
750,23/03/10 22:35:42,0.00
751,23/03/10 22:40:42,0.00
752,23/03/10 22:45:42,0.00
753,23/03/10 22:50:42,0.00
754,23/03/10 22:55:42,0.00
755,23/03/10 23:00:42,0.00
756,23/03/10 23:05:42,0.00
757,23/03/10 23:10:42,0.00
758,23/03/10 23:15:42,0.00
759,23/03/10 23:20:42,0.00
760,23/03/10 23:25:42,0.00
761,23/03/10 23:30:42,0.00
762,23/03/10 23:35:42,0.00
763,23/03/10 23:40:42,0.00
764,23/03/10 23:45:42,0.00
765,23/03/10 23:50:42,0.00
766,23/03/10 23:55:42,0.00
767,23/03/11 00:00:42,0.00
768,23/03/11 00:05:42,0.00
769,23/03/11 00:10:42,0.00
